table_name,column_name,data_type,status,null_count,null_pct,distinct_count
fct_avaibility_part,station_code,Int64,NOT_CHECKED,0,0,1497
fct_avaibility_part,station_name,String,ERROR,0,0,1493
fct_avaibility_part,capacity,Int64,NOT_CHECKED,6,0.06,75
fct_avaibility_part,docks_available,Int64,NOT_CHECKED,0,0,69
fct_avaibility_part,mechanical,Int64,NOT_CHECKED,0,0,60
fct_avaibility_part,ebike,Int64,NOT_CHECKED,0,0,38
fct_avaibility_part,duedate,TIMESTAMP,NOT_LOADED,N/A,N/A,N/A
fct_avaibility_part,bikes_available,Int64,NOT_CHECKED,0,0,71
fct_avaibility_part,rate_bike_available,Float64,NOT_CHECKED,982,9.82,1076
fct_avaibility_part,rate_dock_available,Float64,NOT_CHECKED,982,9.82,1064
fct_avaibility_part,bikes_out_of_order,Int64,NOT_CHECKED,6,0.06,90
fct_avaibility_part,collected_at,"Datetime(time_unit='ns', time_zone=None)",OK,0,0,7562
fct_avaibility_part,rounded_collected_at,"Datetime(time_unit='ns', time_zone=None)",OK,0,0,7562
dim_station,station_code,Int64,NOT_CHECKED,0,0,1587
dim_station,station_name,String,ERROR,0,0,1570
dim_station,capacity,Int64,NOT_CHECKED,0,0,72
dim_station,lon,Float64,NOT_CHECKED,0,0,1586
dim_station,lat,Float64,NOT_CHECKED,0,0,1587
dim_station,city,String,ERROR,0,0,68
dim_station,is_renting,BOOL,NOT_LOADED,N/A,N/A,N/A
dim_station,is_returning,BOOL,NOT_LOADED,N/A,N/A,N/A
dim_station,station_plus,BOOL,NOT_LOADED,N/A,N/A,N/A
dtm_station_distance,origin_station_code,Int64,NOT_CHECKED,0,0,1585
dtm_station_distance,origin_station_name,String,ERROR,0,0,1568
dtm_station_distance,dest_station_code,Int64,NOT_CHECKED,0,0,1584
dtm_station_distance,dest_station_name,String,ERROR,0,0,1567
dtm_station_distance,distance_meters,Float64,NOT_CHECKED,0,0,9978
